"","Dim.1","Dim.2"
"influenza_av",7,1.94
"influenza_bar",7.17,1.68
"influenza_clo",7.17,1.68
"influenza_lat",7.22,1.55
"influenza_res",7.01,2
"influenza_dec",7.01,2
"influenza_dif",6.2,2.23
"influenza_geo",7.28,0.54
"influenza_la",2.73,10.22
"influenza_lev",1.85,5.59
"influenza_lin",7.17,1.68
"influenza_lob",6.43,0.64
"influenza_mar",2.82,10.88
"influenza_rad",7,1.94
"influenza_eig",0.1,0.06
"influenza_sub",2.07,9.7
"influenza_bet",2.23,10.17
"influenza_ecc",3.88,2.08
"influenza_deg",2.61,11.15
"influenza_auth",2.52,11.14
"influenza_hub",2.52,11.14
